CLAFAM,NOMFAM,CLATAL,TYC,ESCANDALLO,COMPONENTE,SERGAR,GARMONTH,MULTIUNI,CLAUNI,TACTIL,IMAGEN,ORDEN,FAVORITO,IMPCOCINA,VTAONLINE,CLAPARENT,GRUPO,POSIMG,PVPONLINE,PALCLAVE,IMGWEB,IMGWEBP,DESCR,ORDENWEB,ATRIBUTOS,PVPMIN,CLAPRINTER,CLAGCOCINA,NOAGRUPAR,EPIGRAFE
5,Libros,0,0,0,0,0,0,0,0,0,,0,0,0,0,38,0,0,1,,,,,0,,0,0,0,0,
8,14,0,0,0,0,0,0,0,0,0,,0,0,0,0,249,0,0,1,,,,,0,,0,0,0,0,
10,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,249,0,0,0,,,,,0,,0,0,0,0,
11,10,0,0,0,0,0,0,0,0,0,,0,0,0,0,249,0,0,0,,,,,0,,0,0,0,0,
17,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,249,0,0,0,,,,,0,,0,0,0,0,
19,SERVICIOS,1,0,0,0,0,0,0,1,0,,0,0,0,0,317,1,0,1,,,,,0,,0,0,0,0,
20,Peluquería,1,0,0,0,0,0,0,1,0,,0,0,0,0,19,0,0,0,,,,,0,,0,0,0,0,
21,Entrenamiento,1,0,0,0,0,0,0,1,0,,0,0,0,0,19,0,0,0,,,,,0,,0,0,0,0,
22,PERROS,1,0,0,0,0,0,0,1,0,,0,0,0,1,0,1,0,1,,_5bg0mmv01_g.png,.\imagesonline\_5bg0mmv01_p.bmp,,12,,0,0,0,0,
24,RC Perro Pienso,1,0,0,0,0,0,0,0,0,,0,0,0,0,190,0,0,1,,,,,0,,0,0,0,0,
25,GATOS,1,0,0,0,0,0,0,1,0,,0,0,0,1,0,1,0,1,,_5bg0mn9fl_g.png,.\imagesonline\_5bg0mn9fl_p.bmp,,41,,0,0,0,0,
26,GATO Alimentos,1,0,0,0,0,0,0,1,0,,0,0,0,0,25,1,0,1,,,,,0,,0,0,0,0,
27,MURRI,1,0,0,0,0,0,0,1,0,,0,0,0,1,41,0,0,1,,,,,71,,0,0,0,0,
28,Natural Greatness Perro,1,0,0,0,0,0,0,0,0,,0,0,0,1,225,0,0,1,,_54l0ojyr1_g.png,.\imagesonline\_54l0ojyr1_p.bmp,,100,,0,0,0,0,
30,Advantix,1,0,0,0,1,24,1,1,0,,0,0,0,0,34,0,0,1,,_4yu13bcdh_g.png,.\imagesonline\_4yu13bcdh_p.bmp,,0,,0,0,0,0,
34,PERRO Antiparasitarios,1,0,0,0,0,0,0,1,0,,0,0,0,0,22,1,0,1,,_4yx15wxby_g.png,.\imagesonline\_4yx15wxby_p.bmp,,0,,0,0,0,0,
36,PECES Y REPTILES,1,0,0,0,0,0,0,1,0,,0,0,0,1,0,1,0,1,"Acuarofilia,peces,totanimal,castellon,vilareal,totanimal,mascotas",_54g0ybwmq_g.png,.\imagesonline\_54g0ybwmq_p.bmp,,56,,0,0,0,0,
38,PERRO Accesorios,1,0,0,0,0,0,0,1,0,,0,0,0,0,22,1,0,1,,,,,0,,0,0,0,0,
40,AVES,1,0,0,0,0,0,0,1,0,,0,0,0,1,0,1,0,1,,_54i12g24b_g.png,.\imagesonline\_54i12g24b_p.bmp,,55,,0,0,0,0,
41,AVES Alimentos,1,0,0,0,0,0,0,1,0,,0,0,0,1,40,1,0,1,,,,,70,,0,0,0,0,
43,Natural Greadness Gatos,1,0,0,0,0,0,0,1,0,,0,0,0,1,26,0,0,1,,,,,101,,0,0,0,0,
44,PERROS Antiparasitarios,1,0,0,0,0,0,0,1,0,,0,0,0,0,34,0,0,1,,,,,0,,0,0,0,0,
57,PECES Tratamientos,0,0,0,0,0,0,0,0,0,,0,0,0,0,253,0,0,1,,,,,0,,0,0,0,0,
62,Frontline Antiparasitario,1,0,0,0,1,24,1,1,0,,0,0,0,0,34,0,0,1,,_4yu13neaa_g.png,.\imagesonline\_4yu13neaa_p.bmp,,0,,0,0,0,0,
63,Libra cat,1,0,0,0,0,0,0,1,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
65,Libra Perro,1,0,0,0,0,0,0,1,0,,0,0,0,1,190,0,0,1,"libra,pienso,afinity,perro.",_54l10apob_g.png,.\imagesonline\_54l10apob_p.bmp,"Tanto el perro como el gato son animales omnívoros. En el caso del perro, para garantizar una nutrición óptima y un correcto desarrollo, necesita variedad y equilibrio en su alimentación.",126,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"LIBRA, formulado por veterinarios expertos en nutrición de mascotas",,,,,,,
66,Advance Perro,1,0,0,0,0,0,0,1,0,,0,0,0,1,190,0,0,1,"Advance,pienso,perro,alimento,totanimal,ilareal,vila-real,castellon",_54l0uio1n_g.png,.\imagesonline\_54l0uio1n_p.bmp,"Advance, una inversión en salud",125,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,   La base de una buena salud es un sistema inmunitario fuerte y para ello una buena alimentación es fundamental.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,   El 100% de su alimentación la controlas tú.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"   ADVANCE es el único alimento que está reforzado con anticuerpos activos (inmunoglobulinas activas) que ayudan a proteger el intestino de tu perro y/o gato, ayudando a que su cuerpo esté más fuerte frente a los agentes externos.",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"   La fórmula de ADVANCE se completa con un alto nivel de vitaminas, minerales y antioxidantes naturales (polifenoles naturales) que favorecen el mantenimiento de una óptima salud a través de la nutrición.",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"   La base de los productos de ADVANCE son ingredientes de origen animal con proteínas de la más alta calidad como pollo, pavo, salmón o cordero junto con cereales de alta digestibilidad como, arroz, trigo, y maíz. Todo esto otorga a los productos ADVANCE un sabor superior.",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,   La constante innovación de ADVANCE en soluciones nutricionales avanzadas hace que los veterinarios recomienden la marca.,,,,,,,
69,True Instict Perro,0,0,0,0,0,0,0,0,0,,0,0,0,1,225,0,0,1,"True,nstinct,piens,natural,totanimal,perro,gato,sin,cereal",_54l0qgvs1_g.png,.\imagesonline\_54l0qgvs1_p.bmp,ALIMENTACIÓN HOLÍSTICA,124,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"El conjunto es más importante que la suma de sus partes. La alimentación holística busca el bienestar y la satisfacción global a través de la variedad y el equilibrio de ingredientes naturales de alta calidad y fáciles de digerir, teniendo la carne y el pescado como base de la dieta.",,,,,,,
71,PECES Control del agua,0,0,0,0,0,0,0,0,0,,0,0,0,0,253,0,0,1,,,,,0,,0,0,0,0,
72,PLANTAS Cuidados y trat,0,0,0,0,0,0,0,0,0,,0,0,0,0,253,0,0,1,,,,,0,,0,0,0,0,
97,Reptiles Accesorios,0,0,0,0,0,0,0,0,0,,0,0,0,0,212,0,0,1,,,,,0,,0,0,0,0,
98,Natural Greatness,1,0,0,0,0,0,0,1,0,,0,0,0,0,225,0,0,1,"pienso,natural,greanees,sin_cereal,vilareal,vila-real,castellon,totanimal,tienda_de_mascota,",_54l0ojyr1_g.png,.\imagesonline\_54l0ojyr1_p.bmp,,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Todas las recetas NATURAL Greatness están elaboradas con ingredientes naturales de la máxima calidad y digestibilidad, por esta razón cualquier receta NATURAL Greatness ayuda a su mascota a tener una piel sana, un pelo brillante y una mayor vitalidad.",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"NATURAL Greatness ofrece un enfoque natural a la nutrición animal, con ingredientes de alta calidad para alimentar a todo tipo de perros y gatos. Nos encantan los perros y gatos y hemos desarrollado un alimento natural y sano para mantener su salud general y el total bienestar físico, apoyando todas las funciones corporale",,,,,,,
99,Peces y Plantas,1,0,0,0,0,0,0,1,0,,0,0,0,0,100,1,0,1,,,,,0,,0,0,0,0,
100,MASCOTAS  Y PLANTAS,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,1,,,,,0,,0,0,0,0,
101,Advance Perro Dietas,0,0,0,0,0,0,0,0,0,,0,0,0,1,190,0,0,1,"advance,veterinary,veterinario,dieta,perro,totanimal.vilareal,vila-real,castellon",_54l16xg7u_g.png,.\imagesonline\_54l16xg7u_p.bmp,SOLUCIONES ADVANCE,127,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Nadie mejor que tú para controlar la salud de tu perro.,,,,,,,
103,Advance Gato,0,0,0,0,0,0,0,0,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
109,Peces Tropicales,1,0,0,0,0,0,0,1,0,,0,0,0,0,99,0,0,0,,,,,0,,0,0,0,0,
110,Farm Nature,1,0,0,0,0,0,0,1,0,,0,0,0,1,190,0,0,1,,_54l10pk3c_g.png,.\imagesonline\_54l10pk3c_p.bmp,Farm Nature,6,,0,0,0,0,
111,Ave Accesorios,1,0,0,0,0,0,0,1,0,,0,0,0,1,315,0,0,1,,,,,75,,0,0,0,0,
114,SERESTO Gato,1,0,0,0,0,0,0,1,0,,0,0,0,0,311,0,0,1,,,,,0,,0,0,0,0,
115,SERESTO Perro,1,0,0,0,0,0,0,1,0,,0,0,0,0,34,0,0,1,"Seresto, collar perros, mascotas, parásitos, gatos, perros, protección pulgas, garrrapatas",_4yu13frwf_g.jpg,.\imagesonline\_4yu13frwf_p.bmp,,15,/,0,0,0,0,
116,BELCANDO Alimento Humedo,1,0,0,0,0,0,0,1,0,,0,0,0,0,191,0,0,1,,,,,0,,0,0,0,0,
124,KONG,1,0,0,0,0,0,0,1,0,,0,0,0,0,162,0,0,1,,,,,28,,0,0,0,0,
125,Peces Agua Fria,1,0,0,0,0,0,0,1,0,,0,0,0,0,99,0,0,0,,,,,0,,0,0,0,0,
126,Mascotas Tortuga,1,0,0,0,0,0,0,1,0,,0,0,0,0,312,0,0,1,,,,,0,,0,0,0,0,
127,PECES Alimento Congelado,1,0,0,0,0,0,0,1,0,,0,0,0,0,252,0,0,1,,,,,0,,0,0,0,0,
128,Plantas Naturales,1,0,0,0,0,0,0,1,0,,0,0,0,0,99,0,0,1,,,,,0,,0,0,0,0,
130,Artero Cosméticos,1,0,0,0,0,0,0,1,0,,0,0,0,0,192,0,0,1,,,,,0,,0,0,0,0,
133,GOURMET,1,0,0,0,0,0,0,1,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
141,RC Seco CAT,1,0,0,0,0,0,0,1,0,,0,0,0,0,26,0,0,1,,,,,43,,0,0,0,0,
144,Mascotas Aves,1,0,0,0,0,0,0,1,0,,0,0,0,1,313,0,0,1,,,,,7,,0,0,0,0,
146,RC Gato Alim. Humedo,1,0,0,0,0,0,0,1,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
147,RC LECHE CAT,1,0,0,0,0,0,0,1,0,,0,0,0,0,26,0,0,1,,,,,45,,0,0,0,0,
148,Mascotas Roedores,1,0,0,0,1,24,0,1,0,,0,0,0,0,313,0,0,1,,,,,0,,0,0,0,0,
149,ICA Acuariofilia,0,0,0,0,0,0,0,0,0,,0,0,0,0,248,0,0,1,,,,,0,,0,0,0,0,
152,ICA Pequeños Animales,0,0,0,0,0,0,0,0,0,,0,0,0,1,251,0,0,1,,,,,113,,0,0,0,0,
158,PECES Accesorios Acuari,1,0,0,0,0,0,0,1,0,,0,0,0,0,248,0,0,1,,,,,0,,0,0,0,0,
160,HILLSPerro,1,0,0,0,0,0,0,1,0,,0,0,0,0,190,0,0,1,,,,,0,,0,0,0,0,
162,PERRO Juguetes,1,0,0,0,0,0,0,1,0,,0,0,0,0,22,1,0,1,,,,,0,,0,0,0,0,
163,PERRO Higiene Salud,1,0,0,0,0,0,0,1,0,,0,0,0,0,192,0,0,1,,,,,0,,0,0,0,0,
165,Perro Ropa y Moda,1,0,0,0,0,0,0,1,0,,0,0,0,0,201,0,0,1,,,,,40,,0,0,0,0,
167,Gato Juguete,1,0,0,0,0,0,0,1,0,,0,0,0,0,193,0,0,1,,,,,54,,0,0,0,0,
168,PEQUEÑOS MAMIFEROS,1,0,0,0,0,0,0,1,0,,0,0,0,1,0,1,0,1,"Roedores,hamster,conejo,cobaya,huron,",_54j0n9izj_g.png,.\imagesonline\_54j0n9izj_p.bmp,,128,,0,0,0,0,
170,Nobleza Juguete perros,0,0,0,0,0,0,0,0,0,,0,0,0,0,162,0,0,1,,,,,0,,0,0,0,0,
172,Aves Alimento,1,0,0,0,0,0,0,1,0,,0,0,0,1,41,0,0,1,,,,,78,,0,0,0,0,
